score,business,category,area,defect_bucket,evidence,website,phone,maps_url,verified_date
Hot,(Law firm) مكتب محاماة علي الشيدي والاستشارات القانونية,Law firm,Sohar,NO_WEBSITE,no website on the Google listing,,9901 3646,https://maps.google.com/?cid=6274253380597435841&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-08-20
Hot,..,Law firm,Seeb,NO_WEBSITE,no website on the Google listing,,9564 9498,https://maps.google.com/?cid=7848283120299640368&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-08-20
Hot,1000 Hala,Restaurant,Barka,NO_WEBSITE,no website on the Google listing,,9569 1000,https://maps.google.com/?cid=1142520915203535413&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-08-20
Hot,3G UNITED TRADING CO LLC,Trading company,Salalah,NO_WEBSITE,no website on the Google listing,,9465 7003,https://maps.google.com/?cid=9607853815868302741&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-08-20
Hot,4u Gym Al Hail North,Gym,Seeb,NO_WEBSITE,no website on the Google listing,,7876 6220,https://maps.google.com/?cid=7273559456135338393&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-08-20
Hot,4U GYM AL MAWALEH,Gym,Seeb,NO_WEBSITE,no website on the Google listing,,7831 7037,https://maps.google.com/?cid=2476063019725214794&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-08-20
Hot,4U Gym Al Seeb Al Mabaila,Gym,Seeb,NO_WEBSITE,no website on the Google listing,,7888 0051,https://maps.google.com/?cid=2753481370641940350&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-08-20
Hot,4U GYM Mabela South Branch,Gym,Seeb,NO_WEBSITE,no website on the Google listing,,7903 9174,https://maps.google.com/?cid=8595169098227614213&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-08-20
Hot,4U Gym Wadi Kabir,Gym,Ruwi,NO_WEBSITE,no website on the Google listing,,7985 0545,https://maps.google.com/?cid=13112013326059002257&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-08-20
Hot,4Ugym alkhodh6,Gym,Seeb,NO_WEBSITE,no website on the Google listing,,7885 1320,https://maps.google.com/?cid=16401047856894872987&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-08-20
