agency,rating,review_count,negatives_visible,website,phone,address,maps_url
Olive E-Solutions LLC,1,1,1,http://www.oliveme.ae/?utm_source=local&utm_medium=organic&utm_content=gmb,22 022031,"Muscat, Sultanate of Oman, Bait Al Rawan, Bldg # 166/1 Office 11, POBox 1574 PC 112، Sultanate of Oman، Oman",https://maps.google.com/?cid=8408632123522483134&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Canary Digital Printing,2.5,2,1,,7955 0076,"Ghala Industrial Behind Al Sukri Near Oman Oil Muscat OM, مسقط 111, Oman",https://maps.google.com/?cid=10443924050502402449&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Stratix Consultants Oman,3.3,131,4,http://stratixconsultants.com/,24 502666,"Office No-310, The office building , Next to Ramez supermarket AL Khuwair South Muscat , Oman Al Khuwair OM Muscat OM, مسقط 113, Oman",https://maps.google.com/?cid=7455404672318944283&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
DHL Service Point (SOHAR),3.7,214,4,https://locator.dhl.com/results?address=id:OOS004&language=en&lc=OM&resultUom=km&clientAppCode=GYD,24 520100,"Opposite to QNB Al Waqibah area, Next to, Omantel, صُحَار، Oman",https://maps.google.com/?cid=11748295620660131200&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
SysX Labs Inc.,3.7,3,1,,9531 7272,"Star Cinema Market, Ruwi, Sultanate of Oman، Al Bank Al Markazi St, Muscat 111, Oman",https://maps.google.com/?cid=7024045172037305199&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Samsung Customer Service Plaza - Azaiba مركز خدمة سامسونج - العذيبة,3.8,684,2,http://www.samsung.com/ae,24 613794,"Oman, Muscat, Block# 224, Bldg# 3500، ( Teeb Bldg ), Shop# 62, Next to M H D Volvo Showroom, Sultan Qaboos St.,، Azaiba، Muscat, Oman",https://maps.google.com/?cid=3054676907662370098&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
AL IBDA PRINTING PRESS,3.8,9,1,,9580 5800,"Near Omantel, Duqm 700, Oman",https://maps.google.com/?cid=11606991813099996855&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Precision Tune - Car Service & Repair Center Ibri,4,77,0,https://www.precisiontunegcc.com/,9265 7734,"Inside Shell Filling Station, Near Mitsubishi Car Showroom Ibri Town, Ibri, Oman OM, Ibri 112, Oman",https://maps.google.com/?cid=3089101113886130217&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Sult Al Rawahi Trading - SRT,4,6,1,http://www.srt.om/,9419 2129,"2nd Floor, No. 25, AL AMERAT PHASE 1, MUSCAT, Opposite to Oman Oil Services filling Station, Amerat Heights, AMERAT, Oman",https://maps.google.com/?cid=5824180884389379105&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Ramzan Digital Printing & Signage -رمضان مطبعةالماس وخطاط تركيب اللافتات التجارية,4,2,1,,9252 6142,"Near Oman Arab Bank, Al-Dasar, Bidiyah 421, Oman",https://maps.google.com/?cid=6025312773833619872&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
EasyCare seeb,4,1,0,https://easycare.services/,7851 1650,"Seeb Souq, Near Bank Muscat, Seeb, Seeb 121, Oman Seeb, السيب‎ 121, Oman",https://maps.google.com/?cid=15217079543811142435&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Precision Tune - Car Service & Repair Center Ibra,4.1,92,1,https://www.precisiontunegcc.com/,9949 7217,"Ibra Sanaya, Opposite Nissan Showroom Ibra, Oman, Ibra, Oman",https://maps.google.com/?cid=9562006856257827179&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Ultimate Solutions Technology LLC ERP - VAT,4.1,18,2,http://www.ultimate-oman.com/,9666 2624,"Office No. 23, 2nd Floor, Bin Hayl-1, Azaiba, Muscat, Oman Muscat OM, مسقط 133, Oman",https://maps.google.com/?cid=3794856531432955919&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
